,Song,Video Title,Views
216860,Too Good At Goodbyes,,
217259,Too Much To Ask,Niall Horan - Too Much To Ask (Acoustic),419341.0
217260,Too Much To Ask,Niall Horan - Too Much To Ask (Acoustic),419341.0
217261,Too Much To Ask,Niall Horan - Too Much To Ask (Acoustic),419341.0
217262,Too Much To Ask,Niall Horan - Too Much To Ask (Acoustic),419341.0
217263,Too Much To Ask,Niall Horan - Too Much To Ask (Acoustic),419341.0
217264,Too Much To Ask,Niall Horan - Too Much To Ask (Acoustic),419341.0
217265,Too Much To Ask,Niall Horan - Too Much To Ask (Acoustic),419341.0
217266,Too Much To Ask,Niall Horan - Too Much To Ask (Acoustic),419341.0
217563,Top Off,,
217564,Top Off,,
217565,Top Off,,
217566,Top Off,,
217567,Top Off,,
217568,Top Off,,
217569,Top Off,,
217774,Total Eclipse Of The Heart,,
218667,Transportin',,
218668,Transportin',,
218669,Transportin',,
218670,Transportin',,
219916,Try Me,,
219917,Try Me,,
223486,Unforgettable,,
223487,Unforgettable,,
223488,Unforgettable,,
223489,Unforgettable,,
223490,Unforgettable,,
223491,Unforgettable,,
223492,Unforgettable,,
223493,Unforgettable,,
223494,Unforgettable,,
223495,Unforgettable,,
223528,Unforgettable,,
223529,Unforgettable,,
223530,Unforgettable,,
223531,Unforgettable,,
223532,Unforgettable,,
223985,Untouchable,Eminem - Untouchable (Audio),3969182.0
224233,Up Down,,
224234,Up Down,,
224235,Up Down,,
224236,Up Down,,
224237,Up Down,,
224238,Up Down,,
224239,Up Down,,
224240,Up Down,,
226543,Wait,Maroon 5 - Wait,692807.0
226544,Wait,Maroon 5 - Wait,692807.0
226545,Wait,Maroon 5 - Wait,692807.0
226546,Wait,Maroon 5 - Wait,692807.0
226547,Wait,Maroon 5 - Wait,692807.0
226548,Wait,Maroon 5 - Wait,692807.0
226549,Wait,Maroon 5 - Wait,692807.0
226550,Wait,Maroon 5 - Wait,692807.0
226551,Wait,Maroon 5 - Wait,692807.0
226552,Wait,Maroon 5 - Wait,692807.0
226553,Wait,Maroon 5 - Wait,692807.0
226554,Wait,Maroon 5 - Wait,692807.0
226555,Wait,Maroon 5 - Wait,692807.0
226556,Wait,Maroon 5 - Wait,692807.0
226557,Wait,Maroon 5 - Wait,692807.0
226558,Wait,Maroon 5 - Wait,692807.0
226559,Wait,Maroon 5 - Wait,692807.0
226712,Wake Me Up!,,
226866,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226867,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226868,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226869,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226870,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226871,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226872,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226873,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226874,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226875,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226876,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226877,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226878,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226879,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226880,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226881,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226882,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226883,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
226884,When We,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),154871.0
227133,Perfect,,
227203,Sky Walker,,
227330,Tell Me You Love Me,Demi Lovato - Tell Me You Love Me,6296393.0
227345,Beautiful Trauma,P!nk - Beautiful Trauma (Official Video),2484089.0
227347,Questions,,
227351,Rubbin Off The Paint,,
227366,Perfect,,
227438,Sky Walker,,
227558,Rubbin Off The Paint,,
227568,Beautiful Trauma,P!nk - Beautiful Trauma (Official Video),2484089.0
227575,Tell Me You Love Me,Demi Lovato - Tell Me You Love Me,6296393.0
227595,Perfect,,
227655,Sky Walker,,
227772,Tell Me You Love Me,Demi Lovato - Tell Me You Love Me,6296393.0
227791,Rubbin Off The Paint,,
227809,Beautiful Trauma,P!nk - Beautiful Trauma (Official Video),2484089.0
227822,Perfect,,
227885,Sky Walker,,
227981,Tell Me You Love Me,Demi Lovato - Tell Me You Love Me,6296393.0
228032,Perfect,,
228092,Sky Walker,,
228152,Tell Me You Love Me,Demi Lovato - Tell Me You Love Me,6296393.0
228235,Perfect,,
228300,Sky Walker,,
228356,Tell Me You Love Me,Demi Lovato - Tell Me You Love Me,6296393.0
228431,Perfect,,
228494,Sky Walker,,
228549,Tell Me You Love Me,Demi Lovato - Tell Me You Love Me,6296393.0
228604,Perfect,,
228662,Sky Walker,,
228665,Candy Paint,,
228762,Perfect,,
228821,Sky Walker,,
228849,Perfect,,
228904,Sky Walker,,
228938,Perfect,,
228994,Sky Walker,,
228997,Do Re Mi,,
229022,Perfect,,
229075,Do Re Mi,,
229081,Sky Walker,,
229097,Perfect,,
229150,Do Re Mi,,
229158,Sky Walker,,
229166,Perfect,,
229225,Perfect,,
229282,Perfect,,
229333,Perfect,,
229380,Perfect,,
229423,Perfect,,
229460,Perfect,,
229498,Perfect,,
229533,Perfect,,
229566,Perfect,,
229596,Perfect,,
229624,Perfect,,
229775,That's What I Like,,
229788,That's What I Like,,
229804,That's What I Like,,
229820,Congratulations,,
229822,That's What I Like,,
229834,Congratulations,,
229837,That's What I Like,,
229848,That's What I Like,,
229850,Congratulations,,
229857,That's What I Like,,
229863,Congratulations,,
229872,That's What I Like,,
229991,The Champion,Carrie Underwood - The Champion (Official Lyric Video) ft. Ludacris,396804.0
230101,All On Me,,
230103,Broken Halos,,
230156,All On Me,,
230221,All On Me,,
230265,All On Me,,
230308,All On Me,,
230349,All On Me,,
230392,All On Me,,
230430,All On Me,,
230471,All On Me,,
230477,Relationship,,
230505,All On Me,,
230509,Relationship,,
230536,All On Me,,
230563,All On Me,,
230573,Rubbin Off The Paint,,
230594,All On Me,,
230623,All On Me,,
230653,All On Me,,
230969,Broken Halos,,
230982,Broken Halos,,
230993,Broken Halos,,
231006,Broken Halos,,
231011,Broken Halos,,
231019,Broken Halos,,
231026,Broken Halos,,
231032,Broken Halos,,
231038,Broken Halos,,
231047,Broken Halos,,
231054,Broken Halos,,
231061,Broken Halos,,
231068,Broken Halos,,
231075,Broken Halos,,
231081,Broken Halos,,
231175,The Christmas Song (Merry Christmas To You),,
231176,The Christmas Song (Merry Christmas To You),,
231177,The Christmas Song (Merry Christmas To You),,
231192,All I Want For Christmas Is You,,
231193,Rockin' Around The Christmas Tree,,
231194,All I Want For Christmas Is You,,
231195,Rockin' Around The Christmas Tree,,
231196,All I Want For Christmas Is You,,
231197,Rockin' Around The Christmas Tree,,
231198,All I Want For Christmas Is You,,
231879,The Greatest Show,,
231880,The Greatest Show,,
231881,The Greatest Show,,
231882,The Greatest Show,,
233620,The Long Way,,
233621,The Long Way,,
233622,The Long Way,,
233623,The Long Way,,
233624,The Long Way,,
233625,The Long Way,,
233626,The Long Way,,
233627,The Long Way,,
233628,The Long Way,,
233629,The Long Way,,
233630,The Long Way,,
233631,The Long Way,,
234219,The Middle,dodie - In The Middle,236457.0
234220,The Middle,dodie - In The Middle,236457.0
234221,The Middle,dodie - In The Middle,236457.0
234222,The Middle,dodie - In The Middle,236457.0
234223,The Middle,dodie - In The Middle,236457.0
234224,The Middle,dodie - In The Middle,236457.0
234225,The Middle,dodie - In The Middle,236457.0
234226,The Middle,dodie - In The Middle,236457.0
234227,The Middle,dodie - In The Middle,236457.0
234228,The Middle,dodie - In The Middle,236457.0
234229,The Middle,dodie - In The Middle,236457.0
234230,The Middle,dodie - In The Middle,236457.0
234231,The Middle,dodie - In The Middle,236457.0
234232,The Middle,dodie - In The Middle,236457.0
234233,The Middle,dodie - In The Middle,236457.0
234234,The Middle,dodie - In The Middle,236457.0
235624,The Plan,G-Eazy - The Plan (Official Video),2642930.0
236009,The Race,,
236010,The Race,,
236011,The Race,,
236012,The Race,,
236013,The Race,,
236275,The Remedy For A Broken Heart (Why Am I So In Love),,
236276,The Remedy For A Broken Heart (Why Am I So In Love),,
236296,The Rest Of Our Life,,
239529,White Sand,,
242989,Window Pain (Outro),,
244476,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244477,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244478,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244479,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244480,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244481,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244482,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244483,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244484,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244485,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244486,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244487,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244488,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244489,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244490,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244491,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244492,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244493,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244494,Wolves,"Selena Gomez, Marshmello - Wolves",2959054.0
244623,"Woman, Amen",,
244624,"Woman, Amen",,
244625,"Woman, Amen",,
244626,"Woman, Amen",,
244627,"Woman, Amen",,
244628,"Woman, Amen",,
246341,Written In The Sand,,
246342,Written In The Sand,,
246343,Written In The Sand,,
246344,Written In The Sand,,
246345,Written In The Sand,,
246346,Written In The Sand,,
246347,Written In The Sand,,
246348,Written In The Sand,,
246349,Written In The Sand,,
246350,Written In The Sand,,
246351,Written In The Sand,,
246352,Written In The Sand,,
246353,Written In The Sand,,
246354,Written In The Sand,,
246355,Written In The Sand,,
246356,Written In The Sand,,
246357,Written In The Sand,,
246358,Written In The Sand,,
246359,Written In The Sand,,
246568,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246569,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246570,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246571,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246572,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246573,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246574,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246575,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246576,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246577,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246578,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246622,XO TOUR Llif3,,
246634,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246635,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246636,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246637,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246638,X,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
246767,Ye vs The People,,
247089,Yes Indeed,,
247887,Walk It Talk It,,
247888,Walk It Talk It,,
247889,Walk It Talk It,,
247890,Walk It Talk It,,
247891,Walk It Talk It,,
247892,Walk It Talk It,,
247893,Walk It Talk It,,
247894,Walk It Talk It,,
247895,Walk It Talk It,,
247896,Walk It Talk It,,
247897,Walk It Talk It,,
247898,Walk It Talk It,,
247899,Walk It Talk It,,
247900,Walk It Talk It,,
247901,Walk It Talk It,,
247902,Walk It Talk It,,
248130,Walk On Water,Eminem - Walk On Water (Audio) ft. Beyoncé,17158531.0
248131,Walk On Water,Eminem - Walk On Water (Audio) ft. Beyoncé,17158531.0
248132,Walk On Water,Eminem - Walk On Water (Audio) ft. Beyoncé,17158531.0
248133,Walk On Water,Eminem - Walk On Water (Audio) ft. Beyoncé,17158531.0
249022,Want You Back,5 Seconds Of Summer - Want You Back (Audio),439056.0
249059,Wanted You,,
249060,Wanted You,,
249061,Wanted You,,
249062,Wanted You,,
249063,Wanted You,,
249064,Wanted You,,
249196,Warm It Up,,
249313,Wassup,,
249370,Wasted Times,,
249371,Wasted Times,,
249372,Wasted Times,,
249782,Watch,,
249783,Watch,,
253072,What About Us,,
253073,What About Us,,
253074,What About Us,,
253075,What About Us,,
253076,What About Us,,
253077,What About Us,,
253078,What About Us,,
254001,What Ifs,,
254363,What Lovers Do,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),762616.0
254364,What Lovers Do,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),762616.0
254365,What Lovers Do,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),762616.0
254366,What Lovers Do,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),762616.0
254367,What Lovers Do,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),762616.0
254368,What Lovers Do,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),762616.0
254369,What Lovers Do,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),762616.0
254370,What Lovers Do,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),762616.0
254371,What Lovers Do,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),762616.0
254372,What Lovers Do,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),762616.0
256031,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256032,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256033,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256034,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256035,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256036,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256037,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256038,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256039,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256040,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256041,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256042,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256043,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256044,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
256045,Whatever It Takes,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",433978.0
257166,When It Rains It Pours,,
257167,When It Rains It Pours,,
257168,When It Rains It Pours,,
257169,When It Rains It Pours,,
257170,When It Rains It Pours,,
259148,The Way Life Goes,,
259149,The Way Life Goes,,
259150,The Way Life Goes,,
259151,The Way Life Goes,,
259152,The Way Life Goes,,
259153,The Way Life Goes,,
259154,The Way Life Goes,,
259155,The Way Life Goes,,
259156,The Way Life Goes,,
259157,The Way Life Goes,,
259158,The Way Life Goes,,
259568,The Ways,,
259569,The Ways,,
259570,The Ways,,
259647,The Weekend,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),506628.0
259648,The Weekend,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),506628.0
259649,The Weekend,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),506628.0
259650,The Weekend,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),506628.0
259651,The Weekend,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),506628.0
259652,The Weekend,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),506628.0
259653,The Weekend,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),506628.0
259654,The Weekend,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),506628.0
259655,The Weekend,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),506628.0
261665,There's Nothing Holdin' Me Back,Shawn Mendes - There's Nothing Holdin' Me Back (Live From The 2017 American Music Awards),496742.0
261666,There's Nothing Holdin' Me Back,Shawn Mendes - There's Nothing Holdin' Me Back (Live From The 2017 American Music Awards),496742.0
261667,There's Nothing Holdin' Me Back,Shawn Mendes - There's Nothing Holdin' Me Back (Live From The 2017 American Music Awards),496742.0
261668,There's Nothing Holdin' Me Back,Shawn Mendes - There's Nothing Holdin' Me Back (Live From The 2017 American Music Awards),496742.0
261669,There's Nothing Holdin' Me Back,Shawn Mendes - There's Nothing Holdin' Me Back (Live From The 2017 American Music Awards),496742.0
263240,This Is America,Childish Gambino - This Is America (Official Video),31648454.0
263241,This Is America,Childish Gambino - This Is America (Official Video),31648454.0
263500,This Is Me,,
263501,This Is Me,,
263502,This Is Me,,
263503,This Is Me,,
263504,This Is Me,,
263505,This Is Me,,
263506,This Is Me,,
263507,This Is Me,,
263508,This Is Me,,
263509,This Is Me,,
263510,This Is Me,,
263511,This Is Me,,
263512,This Is Me,,
263513,This Is Me,,
265126,Thru Your Phone,,
265127,Thru Your Phone,,
265128,Thru Your Phone,,
265244,Thunder/Young Dumb & Broke (Medley),,
265300,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265301,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265302,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265303,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265304,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265305,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265306,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265307,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265308,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265309,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265310,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265311,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265312,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265313,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265314,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265315,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265316,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265317,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265318,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265319,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265320,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265321,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
265322,Thunder,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),400308.0
267908,Humble.,,
267948,New Rules,,
267975,Feel It Still,,
268027,Humble.,,
268074,New Rules,,
268088,Feel It Still,,
268143,Humble.,,
268186,Feel It Still,,
268188,New Rules,,
268235,Humble.,,
268274,Feel It Still,,
268283,New Rules,,
268365,Feel It Still,,
268368,New Rules,,
268440,Feel It Still,,
268441,New Rules,,
268494,New Rules,,
268510,Feel It Still,,
268565,Feel It Still,,
268611,Feel It Still,,
268667,Feel It Still,,
268957,It's The Most Wonderful Time Of The Year,,
268982,Never Be The Same,,
268996,For You (Fifty Shades Freed),"Liam Payne, Rita Ora - For You (Fifty Shades Freed)",2393825.0
269013,Heaven,Julia Michaels - Heaven,302698.0
269110,It's Everyday Bro,,
269131,No Smoke,,
269132,Female,Keith Urban - Female (Lyric Video),55467.0
269253,Legends,,
269294,It's The Most Wonderful Time Of The Year,,
269299,Last Christmas,,
269319,Never Be The Same,,
269328,Heaven,Julia Michaels - Heaven,302698.0
269374,No Smoke,,
269475,Krippy Kush,,
269512,For You (Fifty Shades Freed),"Liam Payne, Rita Ora - For You (Fifty Shades Freed)",2393825.0
269575,Female,Keith Urban - Female (Lyric Video),55467.0
269614,Legends,,
269668,Never Be The Same,,
269676,It's The Most Wonderful Time Of The Year,,
269726,Good Old Days,,
269753,No Smoke,,
269767,Krippy Kush,,
269768,Heaven,Julia Michaels - Heaven,302698.0
269798,Legends,,
269839,Mayores,,
270014,Get You,,
270018,Female,Keith Urban - Female (Lyric Video),55467.0
270048,Never Be The Same,,
270116,Good Old Days,,
270117,Heaven,Julia Michaels - Heaven,302698.0
270159,Mayores,,
270162,No Smoke,,
270211,Legends,,
270264,Krippy Kush,,
270355,Get You,,
270359,Female,Keith Urban - Female (Lyric Video),55467.0
270387,Never Be The Same,,
270472,Good Old Days,,
270483,Heaven,Julia Michaels - Heaven,302698.0
270533,No Smoke,,
270545,Mayores,,
270585,Legends,,
270644,Krippy Kush,,
270701,Never Be The Same,,
270778,Heaven,Julia Michaels - Heaven,302698.0
270780,No Smoke,,
270791,Good Old Days,,
270888,Mayores,,
270910,Legends,,
270918,Moonlight,,
271010,Never Be The Same,,
271069,Heaven,Julia Michaels - Heaven,302698.0
271100,Good Old Days,,
271109,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
271169,No Smoke,,
271206,Legends,,
271215,Mayores,,
271227,Kooda,,
271314,Never Be The Same,,
271364,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
271367,Heaven,Julia Michaels - Heaven,302698.0
271389,Good Old Days,,
271458,Legends,,
271459,No Smoke,,
271509,Mayores,,
271538,Go Flex,,
271584,Never Be The Same,,
271618,Heaven,Julia Michaels - Heaven,302698.0
271638,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
271642,Good Old Days,,
271700,Legends,,
271733,No Smoke,,
271745,Mayores,,
271772,Go Flex,,
271824,Never Be The Same,,
271867,Heaven,Julia Michaels - Heaven,302698.0
271903,Good Old Days,,
271905,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
271965,No Smoke,,
272005,Legends,,
272014,Mayores,,
272015,Go Flex,,
272060,Never Be The Same,,
272095,Heaven,Julia Michaels - Heaven,302698.0
272143,Good Old Days,,
272151,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
272186,Fix A Drink,,
272193,No Smoke,,
272244,Mayores,,
272262,La Modelo,,
272300,Never Be The Same,,
272318,Heaven,Julia Michaels - Heaven,302698.0
272384,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
272386,Good Old Days,,
272438,No Smoke,,
272444,Fix A Drink,,
272449,I Could Use A Love Song,,
272475,Mayores,,
272481,La Modelo,,
272499,Havana,Camila Cabello - Havana (Vertical Video) ft. Young Thug,5476737.0
272525,Never Be The Same,,
272543,Heaven,Julia Michaels - Heaven,302698.0
272568,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
272620,Good Old Days,,
272663,I Could Use A Love Song,,
272666,No Smoke,,
272689,Fix A Drink,,
272698,Mayores,,
272699,La Modelo,,
272710,Havana,Camila Cabello - Havana (Vertical Video) ft. Young Thug,5476737.0
272729,Never Be The Same,,
272756,Heaven,Julia Michaels - Heaven,302698.0
272781,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
272809,Good Old Days,,
272870,I Could Use A Love Song,,
272872,No Smoke,,
272894,Mayores,,
272908,Havana,Camila Cabello - Havana (Vertical Video) ft. Young Thug,5476737.0
272929,Never Be The Same,,
272959,Heaven,Julia Michaels - Heaven,302698.0
272986,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
273005,Good Old Days,,
273056,No Smoke,,
273060,I Could Use A Love Song,,
273098,Havana,Camila Cabello - Havana (Vertical Video) ft. Young Thug,5476737.0
273115,Never Be The Same,,
273141,Heaven,Julia Michaels - Heaven,302698.0
273174,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
273186,Good Old Days,,
273238,I Could Use A Love Song,,
273249,No Smoke,,
273280,Havana,Camila Cabello - Havana (Vertical Video) ft. Young Thug,5476737.0
273298,Never Be The Same,,
273326,Heaven,Julia Michaels - Heaven,302698.0
273358,Good Old Days,,
273362,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
273415,I Could Use A Love Song,,
273453,Havana,Camila Cabello - Havana (Vertical Video) ft. Young Thug,5476737.0
273462,Never Be The Same,,
273496,Heaven,Julia Michaels - Heaven,302698.0
273527,Let Me Go,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
273535,Good Old Days,,
273561,I Could Use A Love Song,,
273605,Glorious,,
273620,Havana,Camila Cabello - Havana (Vertical Video) ft. Young Thug,5476737.0
273631,Never Be The Same,,
273646,Heaven,Julia Michaels - Heaven,302698.0
